%GrBLDC3v1 P&P
%2019NOV17
%Orient PCB with XXY stepper connectors closest to user 
%unit mm
%large tip on nozzle 1
%extra small tip on nozzle 2

%,OriginOffsetCommand,X,Y,,
65535,0,0,0,,

%Tray
%,1=StackOffsetCommand,Stack,X,Y,Comment
%,2=FeedSpacingCommand,Stack,FeedSpacing,
65535,1,0,-3.25,3.25,
65535,2,0,18,
%GrBLDC3v1 might use tray for A4910

%8mm
65535,1,1,0.05,-0.3,56kR0603
65535,2,1,4,

65535,1,2,0.6,-0.3,0R09R1206
65535,2,2,4,

65535,1,3,0.06,-0.3,680pC0603
65535,2,3,4,

65535,1,4,0,-0.3,1kR0603
65535,2,4,4,

65535,1,5,0.1,-0.3,220nC0603
65535,2,5,4,

65535,1,6,0.1,-0.3,1R47kR0603
65535,2,6,4,

65535,1,7,0.04,-0.5,10uC1206
65535,2,7,4,

65535,1,8,0,-0.3,47R0603
65535,2,8,4,

65535,1,9,0.05,-0.4,33nC0603
65535,2,9,4,

65535,1,10,0.06,-0.3,470kR0603
65535,2,10,4,

65535,1,11,0.06,-0.3,24k3R0603
65535,2,11,4,


65535,1,12,0.1,-0.3,0R005R1206
65535,2,12,4,

65535,1,13,0.1,-0.3,ZenerSOD123
65535,2,13,4,

65535,1,14,0.05,-0.3,12pC0603
65535,2,14,4,

65535,1,15,0.1,-0.3,LM4040SOT23
65535,2,15,4,


65535,1,16,0.1,-0.3,Crystal16MHz
65535,2,16,4,

%65535,1,17,0,0,None
%65535,2,17,4,

%65535,1,18,0,0,None
%65535,2,18,4,

%65535,1,19,0,0,None
%65535,2,19,4,

%65535,1,20,0,0,None
%65535,2,20,4,

%65535,1,21,0,0,None
%65535,2,21,4,

%12mm
%65535,1,22,0,0,None
%65535,2,22,0,

%65535,1,23,0,0,None
%65535,2,23,0,

%65535,1,24,0,0,None
%65535,2,24,0,

65535,1,25,4.2,-0.5,IRF5406
65535,2,25,8,

%16mm
65535,1,26,0.4,-0.3,ATMEGA64M1TQFP
65535,2,26,12,

65535,1,27,0.1,-0.3,DRV8818TSSOP
65535,2,27,12,

%,JointedBoardCommand,X(mm),Y(mm),Skip,NA,NA,NA
% Example 65535,3,68.44,0,0,0,0,0,
% GrBLDC isnt panelized

%Placement speed 0,Percent/10,0,0,0,0,0,0,
%Speed 80 Percent
0,7,0,0,0,0,0,0,

%Part Number,Nozzle,Reel,X(mm),Y(mm),Rotation,Height(mm),Skip,Reference,Comment
1,2,4,18.95,29.7,90,0.55,0,R55,1k-R_0603
2,2,4,18.95,32.75,90,0.55,0,R59,1k-R_0603
3,2,4,18.95,36.04,90,0.55,0,R60,1k-R_0603
4,2,4,10.65,37.87,90,0.55,0,R54,1k-R_0603
5,2,4,56.78,41.32,0,0.55,0,R56,1k-R_0603
6,2,4,54.86,41.64,90,0.55,0,R19,1k-R_0603
7,2,4,55.4,43.82,0,0.55,0,R63,1k-R_0603
8,2,4,49.3,56.62,90,0.55,0,R83,1k-R_0603
9,2,4,49.2,60.65,90,0.55,0,R25,1k-R_0603
10,2,4,49.23,63.67,90,0.55,0,R30,1k-R_0603
11,2,8,26.97,66.97,90,0.55,0,R70,47-R_0603
12,2,4,49.2,68.24,90,0.55,0,R26,1k-R_0603
13,2,8,9.02,72.46,90,0.55,0,R68,47-R_0603
14,2,8,41.32,72.44,0,0.55,0,R72,47-R_0603
15,2,4,49.2,72.96,90,0.55,0,R31,1k-R_0603
16,2,4,49.18,77.73,90,0.55,0,R27,1k-R_0603
17,2,4,49.25,80.8,90,0.55,0,R32,1k-R_0603
18,2,8,5.57,37.59,0,0.55,0,R42,47-R_0603
19,2,8,7.23,38.43,0,0.55,0,R52,47-R_0603
20,2,8,5.8,53.22,0,0.55,0,R64,47-R_0603
21,2,8,38.62,69.58,0,0.55,0,R23,47-R_0603
22,2,8,43.24,76.48,0,0.55,0,R48,47-R_0603
23,2,8,31.06,78.86,0,0.55,0,R44,47-R_0603
24,2,8,16.21,79.4,90,0.55,0,R39,47-R_0603
25,2,8,31.18,82.41,0,0.55,0,R47,47-R_0603
26,2,8,2.61,82.93,0,0.55,0,R41,47-R_0603
27,2,8,16.99,83.02,0,0.55,0,R46,47-R_0603
28,2,9,3.43,36.33,90,0.9,0,C50,33n-C_0603
29,2,9,3.42,37.88,90,0.9,0,C48,33n-C_0603
30,2,9,12.37,66.01,90,0.9,0,C45,33n-C_0603
31,2,9,19.93,68.72,0,0.9,0,C46,33n-C_0603
32,2,9,35.21,69.75,90,0.9,0,C79,33n-C_0603
33,2,9,15.15,70.58,0,0.9,0,C47,33n-C_0603
34,2,1,31.62,10.02,90,0.55,0,R8,56k-R_0603
35,2,1,28.9,10.1,90,0.55,0,R4,56k-R_0603
36,2,1,9.3,10.14,90,0.55,0,R5,56k-R_0603
37,2,1,12.16,10.14,90,0.55,0,R9,56k-R_0603
38,2,1,47.75,10.1,90,0.55,0,R3,56k-R_0603
39,2,1,50.45,10.1,90,0.55,0,R7,56k-R_0603
40,2,1,28.13,44.36,0,0.55,0,R10,56k-R_0603
41,2,1,28.15,47.07,0,0.55,0,R6,56k-R_0603
42,2,1,41.6,65.69,0,0.55,0,R22,56k-R_0603
43,2,1,29.65,68.66,90,0.55,1,R28,DNP-R_0603
44,2,1,49.14,69.81,90,0.55,0,R21,56k-R_0603
45,2,1,40.99,70.03,90,0.55,1,R66,DNP-R_0603
46,2,1,9.1,74.03,90,0.55,1,R24,56k-R_0603
47,2,14,44.39,59.38,-45,0.8,0,C36,12p-C_0603
48,2,14,43.38,63.49,90,0.8,0,C39,12p-C_0603
49,2,3,28.7,8.24,90,0.9,0,C7,680p-C_0603
50,2,3,31.73,8.27,90,0.9,0,C11,680p-C_0603
51,2,3,12.27,8.41,90,0.9,0,C12,680p-C_0603
52,2,3,9.19,8.41,90,0.9,0,C8,680p-C_0603
53,2,3,50.6,8.37,90,0.9,0,C10,680p-C_0603
54,2,3,47.6,8.37,90,0.9,0,C6,680p-C_0603
55,2,3,26.67,44.25,0,0.9,0,C13,680p-C_0603
56,2,3,26.67,47.22,0,0.9,0,C9,680p-C_0603
57,2,3,30.52,89.78,0,0.9,0,C86,680p-C_0603
58,2,3,16.27,90.23,0,0.9,0,C85,680p-C_0603
59,2,3,1.58,90.51,0,0.9,0,C84,680p-C_0603
60,2,6,10.58,39.45,90,0.55,0,R53,1.47k-R_0603
61,2,6,21.74,34.86,0,0.55,1,R62,DNP-R_0603
62,2,6,10.83,42.46,0,0.55,0,R34,1.47k-R_0603
63,2,6,13.63,42.47,0,0.55,0,R33,1.47k-R_0603
64,2,6,16.42,42.48,0,0.55,0,R29,1.47k-R_0603
65,2,6,54.73,46.04,90,0.55,0,R20,1.47k-R_0603
66,2,6,20.01,50.05,0,0.55,0,R84,1.47k-R_0603
67,2,6,8.54,52.97,0,0.55,0,R61,1.47k-R_0603
68,2,6,27.75,53.99,0,0.55,0,R2,1.47k-R_0603
69,2,6,29.29,54.86,0,0.55,0,R1,1.47k-R_0603
70,2,6,54.76,57.61,90,0.55,1,R65,DNP-R_0603
71,2,6,54.81,59.32,90,0.55,0,R82,1.47k-R_0603
