%GrBLDC3v1 P&P
%2019NOV17
%Orient PCB with XXY stepper connectors closest to user 
%unit mm
%large tip on nozzle 1
%extra small tip on nozzle 2

%,OriginOffsetCommand,X,Y,,
65535,0,0,0,,

%Tray
%,1=StackOffsetCommand,Stack,X,Y,Comment
%,2=FeedSpacingCommand,Stack,FeedSpacing,
65535,1,0,0,0,
65535,2,0,18,
%GrBLDC3v1 might use tray for A4910

%8mm
65535,1,1,0,0,56kR0603
65535,2,1,4,

65535,1,2,0,0,0R09R1206
65535,2,2,4,

65535,1,3,0,0,680pC0603
65535,2,3,4,

65535,1,4,0,0,1kR0603
65535,2,4,4,

65535,1,5,0,0,220nC0603
65535,2,5,4,

65535,1,6,0,0,1R47kR0603
65535,2,6,4,

65535,1,7,0,0,10uC1206
65535,2,7,4,

65535,1,8,0,0,47R0603
65535,2,8,4,

65535,1,9,0,0,33nC0603
65535,2,9,4,

65535,1,10,0,0,470kR0603
65535,2,10,4,

65535,1,11,0,0,24k3R0603
65535,2,11,4,

65535,1,12,0,0,0R005R1206
65535,2,12,4,

65535,1,13,0,0,ZenerSOD123
65535,2,13,4,

65535,1,14,0,0,12pC0603
65535,2,14,4,

65535,1,15,0,0,LM4040SOT23
65535,2,15,4,

65535,1,16,0,0,Crystal16MHz
65535,2,16,4,

%65535,1,17,0,0,None
%65535,2,17,4,

%65535,1,18,0,0,None
%65535,2,18,4,

%65535,1,19,0,0,None
%65535,2,19,4,

%65535,1,20,0,0,None
%65535,2,20,4,

%65535,1,21,0,0,None
%65535,2,21,4,

%12mm
%65535,1,22,0,0,None
%65535,2,22,0,

%65535,1,23,0,0,None
%65535,2,23,0,

%65535,1,24,0,0,None
%65535,2,24,0,

65535,1,25,4,0,IRF5406
65535,2,25,8,

%16mm
65535,1,26,0,0,ATMEGA64M1TQFP
65535,2,26,12,

65535,1,27,0,0,DRV8818TSSOP
65535,2,27,12,

%,JointedBoardCommand,X(mm),Y(mm),Skip,NA,NA,NA
% Example 65535,3,68.44,0,0,0,0,0,
% GrBLDC isnt panelized

%Placement speed 0,Percent/10,0,0,0,0,0,0,
%Speed 90 Percent
0,9,0,0,0,0,0,0,

%Part Number,Nozzle,Reel,X(mm),Y(mm),Rotation,Height(mm),Skip,Reference,Comment
1,2,4,19.01,29.85,90,0.55,0,R55,1k-R_0603
2,2,4,19,32.9,90,0.55,0,R59,1k-R_0603
3,2,4,19.01,36.2,90,0.55,0,R60,1k-R_0603
4,2,4,10.65,37.97,90,0.55,0,R54,1k-R_0603
5,2,4,56.93,41.52,0,0.55,0,R56,1k-R_0603
6,2,4,54.86,41.79,90,0.55,0,R19,1k-R_0603
7,2,4,55.63,44.07,0,0.55,0,R63,1k-R_0603
8,2,4,49.3,56.77,90,0.55,0,R83,1k-R_0603
9,2,4,49.2,60.8,90,0.55,0,R25,1k-R_0603
10,2,4,49.23,63.82,90,0.55,0,R30,1k-R_0603
11,2,4,27.02,67.15,90,0.55,0,R70,1k-R_0603
12,2,4,49.2,68.39,90,0.55,0,R26,1k-R_0603
13,2,4,9.02,72.62,90,0.55,0,R68,1k-R_0603
14,2,4,41.33,72.71,0,0.55,0,R72,1k-R_0603
15,2,4,49.23,73.12,90,0.55,0,R31,1k-R_0603
16,2,4,49.23,77.92,90,0.55,0,R27,1k-R_0603
17,2,4,49.25,81.07,90,0.55,0,R32,1k-R_0603
18,2,8,5.66,37.61,0,0.55,0,R42,47-R_0603
19,2,8,7.34,38.46,0,0.55,0,R52,47-R_0603
20,2,8,5.84,53.22,0,0.55,0,R64,47-R_0603
21,2,8,38.69,69.69,0,0.55,0,R23,47-R_0603
22,2,8,43.29,76.74,0,0.55,0,R48,47-R_0603
23,2,8,31.19,78.93,0,0.55,0,R44,47-R_0603
24,2,8,16.38,79.75,90,0.55,0,R39,47-R_0603
25,2,8,31.24,82.46,0,0.55,0,R47,47-R_0603
26,2,8,2.64,82.92,0,0.55,0,R41,47-R_0603
27,2,8,17.02,83.07,0,0.55,0,R46,47-R_0603
28,2,9,3.38,36.44,90,0.9,0,C50,33n-C_0603
29,2,9,3.37,37.98,90,0.9,0,C48,33n-C_0603
30,2,9,12.37,66.11,90,0.9,0,C45,33n-C_0603
31,2,9,19.93,68.82,0,0.9,0,C46,33n-C_0603
32,2,9,35.16,69.85,90,0.9,0,C79,33n-C_0603
33,2,9,15.15,70.68,0,0.9,0,C47,33n-C_0603
34,2,1,31.72,10.23,90,0.55,0,R8,56k-R_0603
35,2,1,28.93,10.25,90,0.55,0,R4,56k-R_0603
